"Country.Code","POP_2017","POP_2018","POP_2019","INF_2017","INF_2018","INF_2019","UNEMP_2017","UNEMP_2018","UNEMP_2019","GDP_2017","GDP_2018","GDP_2019"
"IRL",4.79249,4.857015,4.921496,0.3405316,0.4883702,0.9390445,6.71000003814697,5.73999977111816,4.94999980926514,69970.9489145762,79250.3878517684,80927.0746710666
"ISL",0.343399,0.352722,0.360558,1.760413,2.682915,3.013977,2.74000000953674,2.70000004768372,3.50999999046326,72010.1490316258,74461.479998678,68853.71521658
"ISR",8.713268,8.882764,9.054026,0.2449531,0.8173239,0.8441287,4.21999979019165,4,3.79999995231628,41114.7817082553,42406.8454263606,44452.2325623093
"ITA",60.002254,59.877216,59.729077,1.226533,1.137488,0.6112469,11.210000038147,10.6099996566772,9.94999980926514,32406.7203150134,34622.1696664741,33673.7509627421
"JPN",126.70621,126.44318,126.166948,0.475,0.9916667,0.475,2.8199999332428,2.47000002861023,2.34999990463257,38834.0529341227,39727.1165995928,40458.0018755824
"KOR",51.361911,51.585058,51.764822,1.944332,1.475839,0.3830003,3.65000009536743,3.8199999332428,3.75,31616.8434004683,33436.9230646064,31902.4169048194
"LTU",2.828398,2.801541,2.794135,3.722889,2.697928,2.334509,7.07000017166138,6.15000009536743,6.26000022888184,16885.4073948373,19186.359591641,19595.1415724355
"LUX",0.596337,0.60795,0.620003,1.7308,1.528195,1.743321,5.51999998092651,5.59000015258789,5.59000015258789,110193.213797228,116786.511654677,112621.821337404
"LVA",1.942247,1.92717,1.913826,2.930369,2.53446,2.811403,8.72000026702881,7.40999984741211,6.30999994277954,15695.1151541059,17865.0310947642,17945.2222164984
"MEX",124.041731,125.327797,126.577691,6.041456,4.899351,3.635961,3.42000007629395,3.26999998092651,3.48000001907349,9434.38648739127,9857.02882925559,10145.1701829207
"NLD",17.131295,17.231622,17.344876,1.381459,1.703498,2.633699,4.84000015258789,3.82999992370605,3.38000011444092,48675.2223350213,53044.5324352253,52476.2732533327
"NOR",5.276965,5.311916,5.347893,1.875101,2.764831,2.16773,4.15999984741211,3.79999995231628,3.69000005722046,75496.7540581998,82267.809316159,75719.7528965342
"NZL",4.8136,4.9006,4.9792,1.850787,1.598298,1.619632,4.73999977111816,4.32999992370605,4.1100001335144,42924.9955958449,43250.440973659,42865.233643554
"POL",38.422346,38.413139,38.386476,1.975,1.666667,2.308333,4.8899998664856,3.84999990463257,3.27999997138977,13815.6217986247,15504.5804848188,15699.9113500703
"PRT",10.3003,10.283822,10.286263,1.368614,0.9937157,0.3381784,8.86999988555908,6.98999977111816,6.46000003814697,21490.429863104,23562.5545228191,23330.817288932
"RUS",146.842404,146.830572,146.764661,3.683334,2.878305,4.470367,5.21000003814697,4.84999990463257,4.5,10720.3330078125,11287.3603515625,11536.2509765625
"SAU",32.612641,33.41366,34.218169,-0.8381946,2.458142,-2.093333,5.8899998664856,6.03000020980835,5.6399998664856,20138.1463328409,23318.7381671416,22430.238229402
"SVK",5.4392315,5.4467705,5.454147,1.311946,2.514037,2.664561,8.13000011444092,6.53999996185303,5.75,17585.197002257,19486.3936845505,19383.4810445228
"SVN",2.066161,2.07005,2.08931,1.429107,1.738609,1.630523,6.55999994277954,5.1100001335144,4.44999980926514,23514.0254604147,26123.7471277911,26016.078683914
"SWE",10.057695,10.175215,10.278888,1.794499,1.953535,1.784151,6.71999979019165,6.3600001335144,6.82999992370605,53791.5087298403,54589.0603860606,51939.4297445291
"TUR",80.312708,81.407211,82.579448,11.14431,16.33246,15.17682,10.8199996948242,10.8900003433228,13.6700000762939,10464.1013990681,9400.77821401543,9103.04337531894
"USA",325.122128,326.838199,328.329953,2.13011,2.442583,1.81221,4.3600001335144,3.90000009536743,3.67000007629395,59907.754260885,62823.309438197,65120.3946628653
"ZAF",56.840036,57.673251,58.532857,5.184247,4.517165,4.120246,23.9899997711182,24.2199993133545,25.5400009155273,6734.47515312493,7048.52221139611,6688.78727128797
